Admin,"@FIXME: quản trị"
Enabled,"@FIXME: Bật"
Enable,"@FIXME: cho phép"
"Entry with ID #%s not found.","@FIXME: Nhập với ID"
"Expiration Period","@FIXME: Thời gian hết hạn"
"Give the verifier code to application administrator","@FIXME: Cung cấp cho các mã xác minh để quản trị ứng dụng"
ID,"@FIXME: ID"
"Invalid Callback URL","@FIXME: URL gọi lại không hợp lệ"
"Invalid entry ID.","@FIXME: ID nhập không hợp lệ."
"Invalid ID parameter.","@FIXME: Tham số ID không hợp lệ."
"Invalid Rejected Callback URL","@FIXME: URL gọi lại từ chối không hợp lệ"
"Invalid revoke status.","@FIXME: Tình trạng thu hồi không hợp lệ."
Key,"@FIXME: chìa khóa"
"Log in as a customer","@FIXME: Đăng nhập như là một khách hàng"
"Log in as admin","@FIXME: Đăng nhập như là admin"
"Log in as customer","@FIXME: Đăng nhập như là khách hàng"
Login,"@FIXME: đăng nhập"
"Log In","@FIXME: Đăng nhập"
"Log in to use <strong>%s</strong>",@TODO
"My Applications","@FIXME: ứng dụng của tôi"
Name,"@FIXME: tên"
"%name% '%value%' is too long. It must has length %min% symbols.",@TODO
"%name% '%value%' is too short. It must has length %min% symbols.",@TODO
"New Consumer","@FIXME: người tiêu dùng mới"
"OAuth Admin My Apps","@FIXME: OAuth quản trị My Apps"
"OAuth authorization for admin","@FIXME: Ủy quyền OAuth cho admin"
"OAuth authorization for customer","@FIXME: Ủy quyền cho khách hàng OAuth"
"OAuth authorization Pop Up for customer","@FIXME: Ủy quyền OAuth Pop Up cho khách hàng"
"OAuth authorization simple for admin","@FIXME: Ủy quyền OAuth đơn giản cho admin"
"OAuth Authorized Tokens","@FIXME: OAuth ủy quyền Tokens"
"OAuth Consumers","@FIXME: Người tiêu dùng OAuth"
OAuth,"@FIXME: OAuth"
Password,"@FIXME: mật khẩu"
Permissions,"@FIXME: Quyền"
"Please login to proceed authorization.","@FIXME: Vui lòng đăng nhập để tiếp tục ủy quyền."
"Please select needed row(s).","@FIXME: Vui lòng chọn hàng cần thiết (s)."
"Please select revoke status.","@FIXME: Vui lòng chọn trạng thái thu hồi."
"Reject authorization","@FIXME: Từ chối cấp phép"
"Rejected Callback URL","@FIXME: Bị từ chối URL gọi lại"
"Rejection Of Authorization","@FIXME: Từ chối Trong Authorization"
"Reject OAuth token authorization","@FIXME: Từ chối OAuth ủy quyền thẻ"
Reject,"@FIXME: từ chối"
"Reject token authorization for admin","@FIXME: Từ chối cấp phép mã thông báo cho quản trị"
"Reject token authorization Pop Up for admin","@FIXME: Từ chối thẻ ủy quyền Pop Up cho admin"
"* Required Fields","@FIXME: * Các trường bắt buộc"
"REST - My Apps","@FIXME: REST - Apps của tôi"
"REST - OAuth Authorized Tokens","@FIXME: REST - OAuth Tokens ủy quyền"
"REST - OAuth Consumers","@FIXME: REST - Người tiêu dùng OAuth"
revoked,"@FIXME: bị thu hồi"
Revoked,"@FIXME: bị thu hồi"
"Role Name","@FIXME: vai trò Name"
"Save and Continue Edit","@FIXME: Lưu và Tiếp tục Chỉnh sửa"
Save,"@FIXME: Lưu"
Secret,"@FIXME: bí mật"
"Selected entries enabled.","@FIXME: Mục lựa chọn kích hoạt."
"Selected entries has been deleted.","@FIXME: Mục được lựa chọn đã bị xóa."
"Selected entries revoked.","@FIXME: Mục chọn bị thu hồi."
Status,"@FIXME: Tình trạng"
"<strong>%s</strong> requests access to your account",@TODO
System,"@FIXME: hệ thống"
"The application access request is rejected.","@FIXME: Các yêu cầu truy cập ứng dụng bị từ chối."
"The consumer has been deleted.","@FIXME: Người tiêu dùng đã bị xóa."
"The consumer has been saved.","@FIXME: Người tiêu dùng đã được lưu."
"Token Status Change Email Template","@FIXME: Tình trạng Mã thông báo Thay đổi Email Template"
"Token Status Change","@FIXME: Mã thông báo đổi trạng thái"
"Unable to find a consumer.","@FIXME: Không thể tìm thấy một người tiêu dùng."
"User ID","@FIXME: User ID"
"User Name","@FIXME: Tên tài khoản"
"User Type","@FIXME: Loại tài khoản"
"Verifier code: %s",@TODO
"You have no applications.","@FIXME: Bạn không có ứng dụng."
