Add,"@FIXME: thêm vào"
"Remove links and samples from downloadable product","@FIXME: Hủy bỏ liên kết và các mẫu từ sản phẩm tải về"
"Requested link does not exist.","@FIXME: Liên kết yêu cầu không tồn tại."
"Requested link doesn't exist.",@TODO
"Retrieve links and samples list from downloadable product","@FIXME: Lấy liên kết và mẫu danh sách từ sản phẩm tải về"
sample,mẫu
Sample,Mẫu
"See price before order confirmation.","@FIXME: Xem giá trước khi xác nhận đặt hàng."
Shareable,"Có thể chia sẻ"
Shipped,"Đã được chuyển"
"Sorry, there was an error getting requested content","@FIXME: Xin lỗi, có một lỗi nhận được nội dung yêu cầu"
"Sorry, there was an error getting requested content. Please contact store owner.","Rất tiếc, có lỗi xảy ra khi lấy nội dung được yêu cầu. Vui lòng liên hệ với chúng tôi"
"Sorry, there was an error getting requested content. Please contact the store owner.","@FIXME: Xin lỗi, có một lỗi nhận được nội dung yêu cầu.  Xin vui lòng liên hệ với chủ cửa hàng."
"Sorry, the was an error getting requested content. Please contact store owner.","Rất tiếc, có lỗi xảy ra khi lấy nội dung được yêu cầu. Vui lòng liên hệ với chúng tôi"
"Sort Order","Thứ tự sắp xếp"
"Start Download","Bắt đầu tải về"
Status,"Trạng thái"
"The file does not exist.","@FIXME: Các tập tin không tồn tại."
"The link has expired.","@FIXME: Các liên kết đã hết hạn."
"The link is not available.","@FIXME: Các liên kết là không có sẵn."
"There are files that were selected but not uploaded yet. Please upload or remove them first","@FIXME: Có những tập tin được lựa chọn nhưng không tải lên được nêu ra.  Hãy tải lên hoặc loại bỏ chúng đầu tiên"
Title,"Tiêu đề"
To:,Đến:
U,"@FIXME: U"
Unlimited,"Không giới hạn"
"Use Content-Disposition","@FIXME: Sử dụng Content-Disposition"
"Use Default Value","@FIXME: Sử dụng Giá trị mặc định"
"View Order","Xem đơn hàng"
"What's this?",@TODO
"You have not purchased any downloadable products yet.","@FIXME: Bạn chưa mua bất kỳ sản phẩm nào có thể tải về."
