"Access Key","@FIXME: Access Key"
"Amazon Simple Pay service has confirmed capture.","@FIXME: Amazon dịch vụ đơn giản Pay đã khẳng định chụp."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận chụp cho hóa đơn % s.  Các hoá đơn được tự động bị bắt."
"Amazon Simple Pay service has confirmed capture initiation.","@FIXME: Amazon dịch vụ đơn giản Pay đã khẳng định chụp bắt đầu."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận chụp thanh toán.  Hóa đơn % s đã được tự động tạo ra sau khi xác nhận."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận chụp thanh toán.  Hoá đơn được tạo ra tự động."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận hoàn trả thanh toán.  Bản ghi nhớ tín dụng % s đã được tự động tạo ra sau khi xác nhận."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận hoàn trả thanh toán.  Bản ghi nhớ tín dụng đã được tạo ra tự động."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận hoàn trả thanh toán.  Các bản ghi nhớ tín dụng đã được tạo ra tự động."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","@FIXME: Amazon dịch vụ phải trả tiền đơn giản đã xác nhận hoàn trả lại bản ghi nhớ tín dụng % s.  Các bản ghi nhớ tín dụng đã được xử lý tự động."
"Amazon Simple Pay service has confirmed refund.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận hoàn trả."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","@FIXME: Amazon dịch vụ đơn giản Pay đã xác nhận hoàn trả.  Các bản ghi nhớ tín dụng đã được xử lý tự động."
"Amazon Simple Pay service is not available. Payment was not processed.","@FIXME: Amazon Simple dịch vụ phải trả tiền là không có sẵn.  Thanh toán không được xử lý."
"Amazon Simple Pay service payment confirmation has failed.","@FIXME: Amazon xác nhận thanh toán dịch vụ phải trả tiền đơn giản đã thất bại."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","@FIXME: Amazon Simple dịch vụ Pay lỗi xác nhận hoàn: số tiền trong creditmemo hiện tại không phù hợp với số tiền trong yêu cầu xác nhận."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","@FIXME: Amazon Simple dịch vụ Pay lỗi xác nhận hoàn: số tiền yêu cầu xác nhận không khớp với số lượng đơn đặt hàng."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","@FIXME: Amazon Simple dịch vụ Pay lỗi xác nhận hoàn: ID giao dịch trong creditmemo hiện tại không phù hợp với ID giao dịch trong yêu cầu xác nhận."
"Authorize and Capture","@FIXME: Ủy quyền và Capture"
"Authorize Only","@FIXME: Chỉ cho phép"
"<br/>Trace confirmation request:<br/>%s","@FIXME: u003cbr/u003e dấu vết yêu cầu xác nhận: u003cbr/u003e % s"
"Cancel Description","@FIXME: Hủy bỏ Mô tả"
"Cancel Order Notification received from Checkout by Amazon service.","@FIXME: Hủy bỏ thứ tự thông báo nhận được từ Thanh toán bằng dịch vụ của Amazon."
"Checkout by Amazon","@FIXME: Thanh toán bằng Amazon"
"Continue Shopping","@FIXME: tiếp tục mua hàng"
"Customer was redirected to Amazon Simple Pay site","@FIXME: Khách hàng đã được chuyển hướng đến trang web Amazon Pay đơn giản"
Debug,"@FIXME: debug"
"Debug Log","@FIXME: debug Đăng nhập"
"Email Sender","@FIXME: email người gửi"
Enable,"@FIXME: cho phép"
"Error Log","@FIXME: lỗi Đăng nhập"
"FPS Sandbox Service URI","@FIXME: FPS Dịch vụ Sandbox URI"
"FPS Service URI","@FIXME: FPS Dịch vụ URI"
"Immediate Return","@FIXME: ngay lập tức trở lại"
"Invalid action code.","@FIXME: Mã hành động không hợp lệ."
"Invalid request.","@FIXME: Yêu cầu không hợp lệ."
"Invoice was created with Checkout by Amazon.","@FIXME: Hóa đơn đã được tạo ra với Checkout bằng Amazon."
"Merchant ID","@FIXME: Merchant ID"
"Merchant Login","@FIXME: Merchant Login"
"Merchant Name","@FIXME: Tên người bán"
"Merchant Password","@FIXME: Merchant Mật khẩu"
"Merchant Token","@FIXME: Merchant Mã"
"Method Choice Checkout Message","@FIXME: Phương pháp lựa chọn Thanh toán tin nhắn"
"New Order Notification received from Checkout by Amazon service.","@FIXME: Mới thông báo theo thứ tự nhận được từ Thanh toán bằng dịch vụ của Amazon."
"New Order Status","@FIXME: New Status Đặt hàng"
"Notification Error Transactional Email","@FIXME: Thông báo lỗi giao dịch Email"
"Order Ready To Ship Notification received form Checkout by Amazon service.","@FIXME: Thứ tự sẵn sàng để tàu thông báo nhận được mẫu Thanh toán bằng dịch vụ của Amazon."
"Order was canceled with Checkout by Amazon.","@FIXME: Đặt hàng đã bị hủy bỏ với Checkout bằng Amazon."
"Payment Action","@FIXME: hành động thanh toán"
"Payment authorization canceled with Amazon Simple Pay service.","@FIXME: Ủy quyền thanh toán hủy bỏ với Amazon dịch vụ phải trả tiền đơn giản."
"Payment Description","@FIXME: Mô tả thanh toán"
"Payment Sandbox Service URI","@FIXME: Dịch vụ thanh toán Sandbox URI"
"Payment Service URI","@FIXME: Dịch vụ thanh toán URI"
"Pending Amazon Simple Pay","@FIXME: Trong khi chờ Amazon Simple Pay"
"Redirect Message","@FIXME: chuyển tin nhắn"
"Refund Description","@FIXME: hoàn Mô tả"
"Refund was created with Checkout by Amazon.","@FIXME: Hoàn đã được tạo ra với Checkout bằng Amazon."
"Report Email","@FIXME: báo cáo Email"
"Report Error to Email","@FIXME: Báo cáo lỗi đến Email"
"Response body is not a valid FPS response.","@FIXME: Phản ứng cơ thể không phải là một phản ứng FPS hợp lệ."
Sandbox,"@FIXME: hộp đựng cát"
"Secret Key","@FIXME: bí mật chính"
"Secret Key ID","@FIXME: Bí mật khóa ID"
" Select Shipping Method","@FIXME: Chọn Phương thức Giao hàng"
"Shipment was created with Checkout by Amazon.","@FIXME: Lô hàng đã được tạo ra với Checkout bằng Amazon."
SUCCESS,"@FIXME: THÀNH CÔNG"
"Thank you for your purchase!","@FIXME: Cảm ơn bạn đã mua hàng!"
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","@FIXME: Các khách hàng đã bị hủy bỏ và thanh toán thành công trở về từ Amazon trang web phải trả tiền đơn giản"
"The customer has successfully returned from Amazon Simple Pay site","@FIXME: Các khách hàng đã thành công trở về từ Amazon trang web phải trả tiền đơn giản"
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","@FIXME: Hóa đơn đã được tạo ra ( chụp trực tuyến ).  Chờ đợi để chụp xác nhận từ Amazon dịch vụ phải trả tiền đơn giản."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","@FIXME: Hóa đơn đã không được hoàn trả.  Amazon lỗi dịch vụ phải trả tiền đơn giản: [% s ]% s"
"The item specified in callback request XML was not found in quote.","@FIXME: Các mặt hàng quy định tại yêu cầu gọi lại XML không được tìm thấy trong báo."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","@FIXME: Các lệnh được không bị hủy bỏ.  Amazon lỗi dịch vụ phải trả tiền đơn giản: [% s ]% s"
"The order was not captured. Amazon Simple Pay service error: [%s] %s","@FIXME: Các lệnh được không bị bắt.  Amazon lỗi dịch vụ phải trả tiền đơn giản: [% s ]% s"
"The order was not captured online. Authorization confirmation is required.","@FIXME: Các lệnh được không bị bắt trực tuyến.  Xác nhận ủy quyền được yêu cầu."
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","@FIXME: Việc thanh toán được chụp trực tuyến Amazon với dịch vụ Pay đơn giản.  Hóa đơn đã được tạo ra.  Chờ đợi để chụp xác nhận từ các dịch vụ thanh toán."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","@FIXME: Việc thanh toán được hoàn trả trực tuyến.  Đang chờ xác nhận hoàn trả từ Amazon dịch vụ phải trả tiền đơn giản."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","@FIXME: Việc thanh toán được hoàn trả trực tuyến Amazon với dịch vụ Pay đơn giản.  Các bản ghi nhớ tín dụng đã được tạo ra.  Đang chờ xác nhận hoàn trả từ Amazon dịch vụ phải trả tiền đơn giản."
"The request is not a valid IPN request.","@FIXME: Các yêu cầu không phải là một yêu cầu IPN hợp lệ."
"The request was signed incorrectly or the signature is missing.","@FIXME: Các yêu cầu đã được ký kết không đúng hoặc chữ ký là mất tích."
Title,"@FIXME: Tiêu đề"
"Use Callback API","@FIXME: Sử dụng gọi lại API"
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","@FIXME: Địa chỉ thanh toán của bạn sẽ bị bỏ qua và bạn sẽ được chuyển đến Thanh toán của trang web Amazon."
"Your order has been received.","@FIXME: Đơn hàng của bạn đã được nhận."
"You will be redirected to Checkout by Amazon in a few seconds.","@FIXME: Bạn sẽ được chuyển đến Thanh toán bằng Amazon trong một vài giây."
"You will receive an order confirmation email with details of your order and a link to track its progress.<br/>","@FIXME: Bạn sẽ nhận được một email xác nhận đơn hàng với các chi tiết đặt hàng của bạn và một liên kết để theo dõi tiến trình của nó. u003cbr/u003e"
"You will receive an order confirmation email with details of your order and a link to track its progress.","@FIXME: Bạn sẽ nhận được một email xác nhận đơn hàng với các chi tiết đặt hàng của bạn và một liên kết để theo dõi tiến trình của nó."
