"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s đã được thêm vào danh sách ưa thích của bạn. Nhấn chuột <a href=""%2$s"">tại đây</a> để tiếp tục mua hàng"
"%1$s has been updated in your wishlist.","@FIXME: % 1 $ s đã được cập nhật trong danh sách mong muốn của bạn."
"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s đã thêm vào danh sách ưa thích của bạn. Nhấn chuột <a href=""%2$s"">tại đây</a> để tiếp tục mua hàng"
Message,"Thông điệp"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","@FIXME: Sản phẩm yêu thích - u003ca href=""%s""u003e % d Item ( s) u003c/au003e"
"My Wishlist (%d item)","Danh sách mong muốn của tôi (%d sản phẩm)"
"My Wishlist (%d items)","Danh sách mong muốn của tôi (%d sản phẩm)"
"My Wishlist Link","@FIXME: Danh sách yêu cầu liên kết của tôi"
"My Wishlist <small>(%d)</small>","@FIXME: Sản phẩm yêu thích u003csmallu003e (% d) u003c/ smallu003e"
"My Wishlist","Yêu thích"
"Options Details","@FIXME: Tùy chọn Chi tiết"
"Out of stock","@FIXME: Ra khỏi cổ phiếu"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Vui lòng nhập các địa chỉ email hợp lệ, cách nhau bởi dấu phẩy. Ví dụ johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Xin vui lòng nhập nhận xét của bạn..."
"Please input a valid email address.","@FIXME: Xin vui lòng nhập một địa chỉ email hợp lệ."
"Product Details and Comment","@FIXME: Thông tin chi tiết sản phẩm và nhận xét"
Product,"Sản phẩm"
"Product(s) %s have required options. Each of them can be added to cart separately only.","@FIXME: Sản phẩm ( s) % s đã được yêu cầu lựa chọn.  Mỗi người trong số họ có thể được thêm vào giỏ hàng riêng chỉ."
"Product(s) %s have required options. Each product can only be added individually.","@FIXME: Sản phẩm ( s) % s đã được yêu cầu lựa chọn.  Mỗi sản phẩm chỉ có thể được thêm vào riêng."
"Remove Item","Bỏ sản phẩm"
"Remove item","@FIXME: Hủy bỏ mục"
"Remove This Item","@FIXME: Loại bỏ mặt hàng này"
"Requested cart item doesn't exist",@TODO
"Requested wishlist doesn't exist",@TODO
"* Required Fields","* Các trường bắt buộc"
"RSS Feed","@FIXME: RSS Feed"
"RSS link to %s's wishlist",@TODO
"%s for ""%s"".","@FIXME: % s cho""% s""."
"Share options","Các tùy chọn chia sẻ"
"Share Options","@FIXME: Chia sẻ Tùy chọn"
"Share Wishlist","Chia sẻ danh sách ưa thích"
"Share Your Wishlist","Chia sẻ danh sách ưa thích của bạn"
"Sharing Information","Đang chia sẻ thông tin"
"%s has been moved to wishlist %s","@FIXME: % s đã được di chuyển vào ưa thích % s"
"%s's Wishlist",@TODO
"There was an error while adding item to wishlist.","@FIXME: Có một lỗi khi thêm mục ưa thích."
"There was an error while adding item to wishlist: %s","@FIXME: Có một lỗi khi thêm mục vào ưa thích:% s"
"There was an error while deleting item from wishlist.","@FIXME: Có một lỗi khi xóa mục từ danh sách mong ước."
"There was an error while deleting item from wishlist: %s","@FIXME: Có một lỗi khi xóa mục từ danh sách mong muốn:% s"
"This product(s) is currently out of stock","@FIXME: Sản phẩm này ( s) hiện đang là ra khỏi cổ phiếu"
"This product(s) is currently out of stock:","@FIXME: Sản phẩm này (s) hiện đang ra khỏi cổ phiếu:"
"This Wishlist has no Items","@FIXME: Danh sách yêu cầu này không có mục"
"Unable to add the following product(s) to shopping cart: %s.","@FIXME: Không thể thêm các sản phẩm sau đây (s) vào giỏ hàng:% s."
"Update Wishlist","Cập nhật danh sách ưa thích"
"User Description","@FIXME: Mô tả người sử dụng"
"View Details","Xem chi tiết"
"View Product","Xem sản phẩm"
"What's this?",@TODO
"Wishlist could not be created.","@FIXME: Danh sách yêu cầu không thể được tạo ra."
"Wishlist is empty now.","Danh sách ưa thích hiện đang trống."
"Wishlist Section","@FIXME: Mục ưa thích"
"Wishlist Sharing","@FIXME: Sản phẩm yêu thích Chia sẻ"
Wishlist,"Yêu thích"
"You have no items in your wishlist.","Không có sản phẩm nào trong danh sách ưa thích của bạn."
"You input not valid email address.","Bạn nhập địa chỉ email không hợp lệ."
"Your Wishlist has been shared.","Danh sách ưa thích của bạn đã được chia sẻ."
"Your Wishlist was successfully shared","Danh sách ưa thích của bạn đã được chia sẻ thành công"
