%s already exist,%s đã tồn tại
%s already exists,%s đã tồn tại
-- Please Select --,-- Hãy lựa chọn --
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Invalid transactional email code: "
Invalid websites configuration path: %s,Sai cấu hình đường dẫn cho websites: %s
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Để trống để truy xuất từ bất kỳ địa điểm nào"
Locale,Vùng lãnh thổ
Locale options,Tùy chọn vùng lãnh thổ
Log Settings,Cấu hình log
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
Logo Image Alt,Logo Image Alt
"Logo Image Src","Logo Image Src"
Manage Stores,Quản lý Stores
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Model class does not exist: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
Name,Tên
New Design Change,Thiết kế thay đổi mới
New Store,Store mới
New Store View,Store View mới
New Website,Website mới
Package,Gói
Please choose to register or to checkout as a guest,Vui lòng chọn thanh toán là người dùng đăng ký hoặc là Khách
Please define flag code.,Vui lòng định nghĩa mã flag.
Please enter 6 or more characters.,Vui lòng điền 6 ký tự trở lên.
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Vui lòng điền 6 ký tự trở lên. Ký tự trắng ở đầu hoặc các dấu cách sẽ được bỏ qua."
Please enter a number greater than 0 in this field.,Vui lòng điền số lớn hơn 0 trong trường này.
Please enter a valid $ amount. For example $100.00.,Vui lòng điền số lượng $ chính xác. Ví dụ $100.00.
Please enter a valid URL. For example http://www.example.com or www.example.com,Vui lòng điền URL chính xác. Ví dụ http://www.example.com hoặc www.example.com
Please enter a valid URL. http:// is required,Vui lòng điền URL chính xác. bắt buộc có http://
Please enter a valid credit card number.,Vui lòng điền số thẻ tín dụng chính xác.
Please enter a valid date.,Vui lòng điền ngày chính xác.
Please enter a valid email address. For example johndoe@domain.com.,Vui lòng điền email chính xác. Ví dụ sales@domain.com.
Please enter a valid number in this field.,Vui lòng điền số chính xác trong trường này.
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Vui lòng điền số điện thoại chính xác. Ví dụ (123) 456-7890 hoặc 123-456-7890.
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
Please enter valid password.,Vui lòng nhập mật khẩu chính xác.
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Bạn nên chắc chắc đường dẫn cơ bản (Base URL) kết thúc với '/' , VD. http://yourdomain/magento/"
Please make sure your passwords match.,Vui lòng kiểm tra mật khẩu khớp.
Please select State/Province.,Vui lòng lựa chọn State/Province.
Please select an option.,Vui lòng lựa chọn một tùy chọn.
Please select one of the above options.,Vui lòng lựa chọn một trong những tùy chọn trên đây.
Please select one of the options.,Vui lòng lựa chọn một trong những lựa chọn.
Please specify payment method.,Vui lòng lựa chọn hình thức thanh toán.
Please specify shipping method.,Vui lòng lựa chọn hình thức vận chuyển.
Please use letters only (a-z or A-Z) in this field.,Vui lòng chỉ sử dụng các ký tự (a-z hoặc A-Z) trong trường này.
Please use letters only (a-z) in this field.,Vui lòng chỉ sử dụng các ký tự (a-z) trong trường này.
Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.,Vui lòng chỉ sử dụng số trong trường này. Vui lòng không sử dụng khoảng trắng (cách) và các ký tự khác như chấm hoặc phẩy.
Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,Vui lòng chỉ sử dụng các ký tự (a-z) hoặc số (0-9) trong trường này. Không được phép sử dụng các khoảng trắng (cách) hoặc các ký tự khác.
Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.,Vui lòng chỉ sử dụng ký tự (a-z) hoặc số (0-9) hoặc cách và # trong trường này.
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Vui lòng chỉ sử dụng ký tự (a-z), số (0-9) hoặc gạch dưới(_) trong trường này, Ký tự đầu tiên phải là chữ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",Vui lòng sử dụng định dạng ngày: dd/mm/yyyy. VD 17/03/2006 cho ngày 17 tháng 3 năm 2006.
"Please wait, loading...","Vui lòng đợi, đang tải..."
Polls,Các bình chọn
Port (25),Cổng (25)
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Đường dẫn bắt buộc cho store đã chỉ định"
"Requested invalid store ""%s""","Store được yêu cầu không chính xác ""%s"""
Resource is not set,Nguồn (Resource) chưa được thiết lập
Root Category,Danh mục gốc
SMTP settings (Windows server only),Cài đặt SMTP (Chỉ dùng trên Windows server)
"Sales representative","Đại diện bán hàng"
Save,Lưu
Save Store,Lưu Store
Save Store View,Lưu Store View
Save Website,Lưu Website
Search Engines Optimization,Tối ưu hóa công cụ tìm kiếm
Secure,Bảo mật
Select Date,Chọn ngày
Sender email,Sender email
"Sender name","Sender name"
Services,Các dịch vụ
Session Cookie management,Quản lý Session Cookie.
Session Validation Settings,Thiết lập hiệu lực Session.
"Set as default","Đặt là mặc định"
"Skin (Images / CSS)","Skin (Images / CSS)"
Sort order,Thứ tự sắp xếp
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Ngày giờ chỉ định ""%1$s"" không phù hợp định dạng ""%2$s""."
"Specify either category or product, or both.","Chỉ rõ cả danh mục hoặc sản phẩm, hoặc cả hai."
Start date can\'t be greater than end date,Ngày bắt đầu không thể lớn hơn ngày kết thúc
Startup page,Trang bắt đầu (startup)
Status,Trạng thái
"Store","Store"
"Store Email Addresses","Địa chỉ email Store"
Store Information,Thông tin Store
Store Name,Tên store
"Store View","Store View"
Store View Information,Thông tin Store View
Store View Name,Tên Store View
Store View was successfully saved,Store View đã được lưu
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store code nên bao gồm chỉ các ký tự (a-z), số (0-9) hoặc gạch dưới(_), Ký tự đầu tiên nên là chữ."
Store doesn't exist,Store không tồn tại
Store view doesn't exist,Store view không tồn tại
Store view was successfully deleted.,Store view đã được xóa.
Store was successfully deleted.,Store đã được xóa.
Store was successfully saved,Store đã được lưu
Store with the same code,Store với cùng mã (code)
Hệ thống,Hệ thống
System Log File Name,Tên file log hệ thống
Template Path Hints,Gợi ý đường dẫn Template
"Templates","Templates"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s Bạn vừa nhập không chính xác. Vui lòng điền theo mẫu định dạng ""http://domain.com/""."
"Themes","Themes"
This category and all its child elements,Danh mục này và tất cả các thành phần con của nó
This category and its child categories only,Chỉ danh mục này và các thành phần con của nó
This category and its products only,Chỉ danh mục này và các sản phẩm của nó
This category only,Chỉ danh mục này
"This is a required field.","Đây là trường bắt buộc."
This store cannot be deleted,Store này không thể xóa được
This store cannot be deleted.,Store này không thể xóa được.
This store view cannot be deleted,Store view này không thể xóa được
This store view cannot be deleted.,Store view này không thể xóa được.
This website cannot be deleted,Website này không thể xóa được
This website cannot be deleted.,Website này không thể xóa được.
This will be displayed just before body closing tag,Hiển thị trước thẻ đóng body
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
Timezone,Múi giờ
Title Prefix,Tiền tố (Prefix) tiêu đề
Title Suffix,Suffix tiêu đề
Translate Inline,Dịch ngay trong trang (Translate Inline)
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
Translations,Dịch
"Unable to delete store view. Please, try again later.",Không thể xóa store view. Vui lòng thử lại sau.
"Unable to delete store. Please, try again later.",Không thể xóa store store. Vui lòng thử lại sau.
"Unable to delete website. Please, try again later.",Không thể xóa website. Vui lòng thử lại.
"Unable to proceed. Please, try again","Không thể xử lý, vui lòng thử lại"
"Unknown scope ""%s""","Phạm vi ""%s"" không rõ"
Unsecure,Không bảo mật
Url Options,Tùy chọn Url
Use Secure URLs in Admin,sử dụng URLs không bảo mật trong quản trị (Admin)
Use Secure URLs in Frontend,Sử dụng URLs bảo mật trọng Frontend
Use Web Server Rewrites,Sử dụng Rewrites của Web Server
Use custom admin URL,Sử dụng URL tùy chọn cho quản trị (Admin)
Validate HTTP_USER_AGENT,Thẩm định HTTP_USER_AGENT
Validate HTTP_VIA,Thẩm định HTTP_VIA
Validate HTTP_X_FORWARDED_FOR,Thẩm định HTTP_X_FORWARDED_FOR
Validate REMOTE_ADDR,Thẩm định REMOTE_ADDR
"Web","Web"
"Website","Website"
Website Information,Thông tin Website
Website Name,Tên Website
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Mã website chỉ sử dụng ký tự (a-z), số (0-9) hoặc gạch dưới(_) trong trường này, Ký tự đầu tiên phải là chữ."
Website doesn't exist,Website không tồn tại
Website was successfully deleted.,Website đã được xóa.
Website was successfully saved,Website đã được lưu
Website with the same code,Website với cùng mã
Weekend Days,Ngày cuối tuần
Welcome Text,Câu chào mừng
Wrong number of arguments for %s,Sai số của tham số cho %s
"Your order can not be completed at this time as there is no payment methods available for it.","Đặt hàng của bạn hiện tại không thể hoàn thành vì không có hình thức vận chuyển phù hợp."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Session của bạn đã hết hạn, bạn vui lòng đăng nhập lại."

Colors Select,lựa chọn màu sắc
